Model,Subgroup_variable,Subgroup_level,n_respondents,n_choice_sets,n_observations,Variable,Coefficient,SE,z_value,p_value,Odds_Ratio,Significance
"M56 subgroup: Income_binary = >15,000 RMB",Income_binary,">15,000 RMB",36,348,696,PowertrainBEV:ReliabilityMedium,-0.5002957037511674,0.9569663972328127,-0.5227933866829959,0.6011180422811861,0.60635133283648,
"M56 subgroup: Income_binary = >15,000 RMB",Income_binary,">15,000 RMB",36,348,696,PowertrainBEV:Smart_CockpitAdvanced,1.0347114772990855,0.5539863397073663,1.867756302160183,0.061796046893456164,2.8142941307305827,.
"M56 subgroup: Income_binary = >15,000 RMB",Income_binary,">15,000 RMB",36,348,696,PowertrainBEV:Smart_CockpitIntermediate,0.5134660770779369,0.48743041576382173,1.0534141089109434,0.2921512406193452,1.6710732372983714,
"M56 subgroup: Income_binary = ≤15,000 RMB",Income_binary,"≤15,000 RMB",70,688,1376,"Purchase_PriceRMB 150,000–170,000",-0.14916377130525582,0.2717252101398386,-0.5489507993332357,0.5830392149633321,0.8614280261539025,
"M56 subgroup: Income_binary = ≤15,000 RMB",Income_binary,"≤15,000 RMB",70,688,1376,"Purchase_PriceRMB 190,000–210,000",-0.4598618570280186,0.22758800616276556,-2.0205891548570283,0.04332231253228629,0.6313708589297016,*
"M56 subgroup: Income_binary = ≤15,000 RMB",Income_binary,"≤15,000 RMB",70,688,1376,Monthly_Operating_CostRMB 300/month,0.9227720284306297,0.29973808288438547,3.0785945501178102,0.0020797952130943644,2.5162558640237016,**
"M56 subgroup: Income_binary = ≤15,000 RMB",Income_binary,"≤15,000 RMB",70,688,1376,Monthly_Operating_CostRMB 600/month,0.4823755594624099,0.2200410759317187,2.1922068751022494,0.028364572264504766,1.619918046626369,*
"M56 subgroup: Income_binary = ≤15,000 RMB",Income_binary,"≤15,000 RMB",70,688,1376,Cabin_ComfortImproved,0.5941655583562209,1.6543441388740654,0.35915475165923194,0.7194793243059138,1.8115187074629397,
"M56 subgroup: Income_binary = ≤15,000 RMB",Income_binary,"≤15,000 RMB",70,688,1376,Cabin_ComfortPremium,0.07694809941156802,0.5646710320159036,0.13627066920160485,0.8916073101455155,1.0799860230279181,
"M56 subgroup: Income_binary = ≤15,000 RMB",Income_binary,"≤15,000 RMB",70,688,1376,PowertrainBEV,-0.18133138966071244,0.3041465622283198,-0.5961974001356253,0.5510433622515478,0.8341588812587971,
"M56 subgroup: Income_binary = ≤15,000 RMB",Income_binary,"≤15,000 RMB",70,688,1376,ReliabilityHigh,0.35191386826374393,0.6505792924192152,0.5409238694873498,0.5885600577647885,1.42178605754282,
"M56 subgroup: Income_binary = ≤15,000 RMB",Income_binary,"≤15,000 RMB",70,688,1376,ReliabilityMedium,0.654055364260837,0.39108169697676376,1.6724264247521097,0.09444026499519587,1.9233248176187103,.
"M56 subgroup: Income_binary = ≤15,000 RMB",Income_binary,"≤15,000 RMB",70,688,1376,Smart_CockpitAdvanced,0.1651852441718061,0.29782176989348236,0.5546446259817929,0.5791377586629125,1.1796116146498248,
"M56 subgroup: Income_binary = ≤15,000 RMB",Income_binary,"≤15,000 RMB",70,688,1376,Smart_CockpitIntermediate,0.4274824462356673,0.2987941377023009,1.4306922134516007,0.1525184458254318,1.533392262625743,
"M56 subgroup: Income_binary = ≤15,000 RMB",Income_binary,"≤15,000 RMB",70,688,1376,Convenience_intDifficult,-0.2926929815518376,0.20915942430117812,-1.3993774487080999,0.16169982577527547,0.7462512184208973,
"M56 subgroup: Income_binary = ≤15,000 RMB",Income_binary,"≤15,000 RMB",70,688,1376,Convenience_intEasy,-0.01474284201090913,0.30572859798312224,-0.04822199201568644,0.9615393234799499,0.985365301584113,
"M56 subgroup: Income_binary = ≤15,000 RMB",Income_binary,"≤15,000 RMB",70,688,1376,BEV_Easy,0.5495375311832336,0.6471922568453251,0.8491101761042386,0.39581998850491346,1.7324516277183255,
"M56 subgroup: Income_binary = ≤15,000 RMB",Income_binary,"≤15,000 RMB",70,688,1376,PowertrainBEV:ReliabilityHigh,-0.25823777277805354,0.5438780557679381,-0.4748082222464928,0.6349236719309459,0.7724115518302292,
"M56 subgroup: Income_binary = ≤15,000 RMB",Income_binary,"≤15,000 RMB",70,688,1376,PowertrainBEV:ReliabilityMedium,0.09534249074852245,0.5870441753213745,0.1624111008278511,0.8709821296992036,1.1000355426128219,
"M56 subgroup: Income_binary = ≤15,000 RMB",Income_binary,"≤15,000 RMB",70,688,1376,PowertrainBEV:Smart_CockpitAdvanced,-0.023994302237996548,0.3514605540585422,-0.06827025667864808,0.9455705006031185,0.9762912724173782,
"M56 subgroup: Income_binary = ≤15,000 RMB",Income_binary,"≤15,000 RMB",70,688,1376,PowertrainBEV:Smart_CockpitIntermediate,-0.37222122756803255,0.3552919501794328,-1.0476489190932976,0.2948003901030716,0.6892017552294545,
M56 subgroup: EV_experience = EV experience,EV_experience,EV experience,52,508,1016,"Purchase_PriceRMB 150,000–170,000",0.058687143487317905,0.3270796058282298,0.1794277064102194,0.8576018778187607,1.0604434222061028,
M56 subgroup: EV_experience = EV experience,EV_experience,EV experience,52,508,1016,"Purchase_PriceRMB 190,000–210,000",-0.36845925067515484,0.26377401960834246,-1.3968746854684602,0.16245125824396064,0.6917993993822084,
M56 subgroup: EV_experience = EV experience,EV_experience,EV experience,52,508,1016,Monthly_Operating_CostRMB 300/month,1.0764208608107946,0.41238597902122126,2.610226621587933,0.009048225954464827,2.9341589716246625,**
M56 subgroup: EV_experience = EV experience,EV_experience,EV experience,52,508,1016,Monthly_Operating_CostRMB 600/month,0.3987976766764627,0.28305929711064,1.4088838654912077,0.1588695111622303,1.4900321198576496,
M56 subgroup: EV_experience = EV experience,EV_experience,EV experience,52,508,1016,Cabin_ComfortImproved,-1.6750129562688874,1.900071353068102,-0.8815526604115124,0.37801876472569684,0.18730575268254002,
M56 subgroup: EV_experience = EV experience,EV_experience,EV experience,52,508,1016,Cabin_ComfortPremium,-0.10827191537714005,0.6684889220818507,-0.16196516023025895,0.8713332896775304,0.8973835508653948,
M56 subgroup: EV_experience = EV experience,EV_experience,EV experience,52,508,1016,PowertrainBEV,0.3279950377386857,0.32514452330089405,1.0087669151208607,0.31308643159761734,1.3881820837500696,
